repo_name,category,stars,forks,open_issues,contributors,total_commits,primary_language,size_kb,age_days,created_at,last_updated,description,has_wiki,has_issues,license
keras-team/keras,Deep Learning,64060,19765,210,408,12368,Python,52659,4057,2015-03-28,2026-05-06,Deep Learning for humans,True,True,Apache License 2.0
fastai/fastai,Deep Learning,27996,7662,267,241,2918,Jupyter Notebook,880313,3161,2017-09-09,2026-05-06,The fastai deep learning library,True,True,Apache License 2.0
pytorch/examples,Deep Learning,23877,9818,250,258,835,Python,42754,3542,2016-08-24,2026-05-06,"A set of examples around pytorch in Vision, Text, Reinforcement Learning, etc.",True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
Lightning-AI/pytorch-lightning,Deep Learning,31114,3720,998,436,11075,Python,133730,2593,2019-03-31,2026-05-06,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.",False,True,Apache License 2.0
huggingface/datasets,NLP,21491,3196,1093,441,4266,Python,90293,2232,2020-03-26,2026-05-06,"🤗 The largest hub of ready-to-use datasets for AI models with fast, easy-to-use and efficient data manipulation tools",True,True,Apache License 2.0
explosion/spaCy,NLP,33544,4679,204,388,16311,Python,203709,4325,2014-07-03,2026-05-06,💫 Industrial-strength Natural Language Processing (NLP) in Python,False,True,MIT License
facebookresearch/fairseq,NLP,32214,6681,1354,285,2330,Python,26071,3172,2017-08-29,2026-05-06,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,False,True,MIT License
allenai/allennlp,NLP,11893,2223,91,245,2719,Python,74709,3278,2017-05-15,2026-05-06,"An open-source NLP research library, built on PyTorch.",False,True,Apache License 2.0
facebookresearch/detectron2,Computer Vision,34451,7930,585,212,1559,Python,6866,2435,2019-09-05,2026-05-06,"Detectron2 is a platform for object detection, segmentation and other visual recognition tasks.",False,True,Apache License 2.0
ultralytics/yolov5,Computer Vision,57334,17482,43,335,2968,Python,17468,2179,2020-05-18,2026-05-06,YOLOv5 🚀 in PyTorch > ONNX > CoreML > TFLite,True,True,GNU Affero General Public License v3.0
open-mmlab/mmdetection,Computer Vision,32658,9839,1960,414,2706,Python,64771,2814,2018-08-22,2026-05-06,OpenMMLab Detection Toolbox and Benchmark,True,True,Apache License 2.0
huggingface/pytorch-image-models,Computer Vision,36758,5151,65,166,3106,Python,30790,2650,2019-02-02,2026-05-06,"The largest collection of PyTorch image encoders / backbones. Including train, eval, inference, export scripts, and pretrained weights -- ResNet, ResNeXT, EfficientNet, NFNet, Vision Transformer (ViT), MobileNetV4, MobileNet-V3 & V2, RegNet, DPN, CSPNet, Swin Transformer, MaxViT, CoAtNet, ConvNeXt, and more",True,True,Apache License 2.0
mlflow/mlflow,MLOps,25771,5687,2060,450,12020,Python,1448438,2892,2018-06-05,2026-05-06,"The open source AI engineering platform for agents, LLMs, and ML models. MLflow enables teams of all sizes to debug, evaluate, monitor, and optimize production-quality AI applications while controlling costs and managing access to models and data.",True,True,Apache License 2.0
treeverse/dvc,MLOps,15581,1293,171,293,9558,Python,20972,3350,2017-03-04,2026-05-06,🦉 Data Versioning and ML Experiments,True,True,Apache License 2.0
PrefectHQ/prefect,MLOps,22317,2295,843,412,21371,Python,216500,2868,2018-06-29,2026-05-06,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,False,True,Apache License 2.0
bentoml/BentoML,MLOps,8628,958,141,231,3753,Python,103430,2591,2019-04-02,2026-05-06,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",False,True,Apache License 2.0
optuna/optuna,AutoML/RL,14102,1324,40,314,20826,Python,22835,2996,2018-02-21,2026-05-06,A hyperparameter optimization framework,True,True,MIT License
openai/gym,AutoML/RL,37181,8703,128,365,1758,Python,7125,3661,2016-04-27,2026-05-06,A toolkit for developing and comparing reinforcement learning algorithms.,True,True,Other
microsoft/nni,AutoML/RL,14352,1857,415,173,3012,Python,133124,2896,2018-06-01,2026-05-06,"An open source AutoML toolkit for automate machine learning lifecycle, including feature engineering, neural architecture search, model compression and hyper-parameter tuning.",True,True,MIT License
automl/auto-sklearn,AutoML/RL,8092,1324,209,73,2759,Python,126435,3961,2015-07-02,2026-05-06,Automated Machine Learning with scikit-learn,True,True,"BSD 3-Clause ""New"" or ""Revised"" License"
tensorflow/tensorflow,Deep Learning,195024,75278,4939,412,193536,C++,1317968,3833,2015-11-07,2026-05-06,An Open Source Machine Learning Framework for Everyone,False,True,Apache License 2.0
pytorch/pytorch,Deep Learning,99693,27692,18535,322,103791,Python,1320102,3553,2016-08-13,2026-05-06,Tensors and Dynamic neural networks in Python with strong GPU acceleration,True,True,Other
google/flax,Deep Learning,7186,801,475,275,5841,Jupyter Notebook,39654,2308,2020-01-10,2026-05-06,Flax is a neural network library for JAX that is designed for flexibility.,True,True,Apache License 2.0
lucidrains/vit-pytorch,Deep Learning,25147,3496,142,26,395,Python,10965,2040,2020-10-03,2026-05-06,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",True,True,MIT License
huggingface/accelerate,Deep Learning,9664,1344,89,391,1955,Python,7009,2014,2020-10-30,2026-05-06,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support",True,True,Apache License 2.0
deepspeedai/DeepSpeed,Deep Learning,42266,4819,1296,440,3137,Python,246805,2295,2020-01-23,2026-05-06,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",False,True,Apache License 2.0
facebookresearch/xformers,Deep Learning,10446,772,378,108,1130,Python,43958,1666,2021-10-13,2026-05-06,"Hackable and optimized Transformers building blocks, supporting a composable construction.",False,True,Other
Lightning-AI/litgpt,Deep Learning,13343,1427,257,127,1475,Python,5842,1098,2023-05-04,2026-05-06,"20+ high-performance LLMs with recipes to pretrain, finetune and deploy at scale.",False,True,Apache License 2.0
karpathy/nanoGPT,Deep Learning,57623,9892,347,36,210,Python,981,1225,2022-12-28,2026-05-06,"The simplest, fastest repository for training/finetuning medium-sized GPTs.",True,True,MIT License
openai/whisper,Deep Learning,99015,12151,122,80,168,Python,4132,1328,2022-09-16,2026-05-06,Robust Speech Recognition via Large-Scale Weak Supervision,False,False,MIT License
meta-llama/llama,Deep Learning,59389,9815,518,48,148,Python,1150,1177,2023-02-14,2026-05-06,Inference code for Llama models,False,True,Other
CompVis/stable-diffusion,Deep Learning,72977,10607,614,7,33,Jupyter Notebook,43676,1365,2022-08-10,2026-05-06,A latent text-to-image diffusion model,True,True,Other
invoke-ai/InvokeAI,Deep Learning,27117,2820,423,343,18920,TypeScript,357657,1358,2022-08-17,2026-05-06,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.",True,True,Apache License 2.0
microsoft/unilm,Deep Learning,22116,2698,679,61,1247,Python,77210,2479,2019-07-23,2026-05-06,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities",True,True,MIT License
google-deepmind/sonnet,Deep Learning,9918,1304,39,58,876,Python,16849,3320,2017-04-03,2026-05-06,TensorFlow-based neural network library,True,True,Apache License 2.0
AUTOMATIC1111/stable-diffusion-webui,Deep Learning,162750,30311,2484,428,7689,Python,36552,1353,2022-08-22,2026-05-06,Stable Diffusion web UI,True,True,GNU Affero General Public License v3.0
